country_iso3,year_month,acled_event_count,acled_fatalities,acled_peak_fatalities,acled_battle_count,acled_explosion_count,acled_violence_count,acled_protest_count,acled_riot_count
MWI,2000-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2000-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2000-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2000-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2001-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2002-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2002-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2002-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2002-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2002-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2002-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2002-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2002-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
